Identifier,,Progress,,,,,,,,,Deal Info,,,,,,,,,Sources,,,,,,,,,,FDI MARKETS DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deal ID,Present in '22?,Reviewer,Review Date,Review Status,Analyst,Analyst (after 10/15/2025),Checked Date,Confidence Status,Duplicate Pair ID (Original),Comments (changes made),Deal Status,Amount - Announced (Million USD),Amount - Completed (Million USD),Estimated (Y),CN Deal Stake (%),Date [MM/DD/YYYY] - Announced,Date [MM/DD/YYYY] - Completed,BU Sector,BU Sub-sector,Source (Deal Status),Source (Amount - Announced),Source (Amount - Completed),Source (Deal Stake %),Source (Date [MM/DD/YYYY] - Announced),Source (Date [MM/DD/YYYY] - Completed),Source (BU Sector),Other/General Sources,Subregion,Year (Announced),Project date,FDI Project ID,Investing company,Parent company,Parent company ID,Source country,Source state,Source city,Region,Destination,Relocation from,Industry sector,Sub-sector,Cluster,Industry activity,Jobs created,Estimated,Capital Investment (US$m),Estimated,Project type,Project status,Motive description,Markets served,Joint venture companies,Source,Contact name (1),Position (1),Email (1),Telephone (1),Contact name (2),Position (2),Email (2),Telephone (2),Contact name (3),Position (3),Email (3),Telephone (3)
1009,,TR,8/28/2025,ok,Pocut,,02/28/2025,High,,The wafer plant facility was completed in 2014,Completed,378,,No,,06/27/2013,07/01/2014,Industry & Trade/Ser,Manufacturing,https://www.pv-tech.org/comtec_solar_starts_construction_of_1gw_n_type_mono_wafer_plant_in_malaysia/,https://www.pv-tech.org/comtec_solar_starts_construction_of_1gw_n_type_mono_wafer_plant_in_malaysia/,,,https://www.pv-tech.org/comtec_solar_starts_construction_of_1gw_n_type_mono_wafer_plant_in_malaysia/,https://www.akdi.net/portfolio-page/industrial/comtec-solar-wafer-plant/,,,Southeast Asia,2013,6/1/2013,,Comtec Solar Systems,Comtec Solar Systems,,China,Shanghai Municipality,Shanghai,Asia,Malaysia,,,Semiconductors,Semiconductors & other electronic components,ICT & Electronics,Manufacturing,1300,No,372,No,New,,,,,,John Zhang,Chief Executive Officer,,,,,,,,,
1010,,,,,,,,,,"Changed name to Iran, Islamic Republic",,,,,,,,,,,,,,,,,,Middle East,,8/1/2007,,Chery Automobile,SAIC Chery Automobile,,China,Anhui,Wuhu,Asia,"Iran, Islamic Republic",,Automotive OEM,Automobiles,Transport Equipment,Manufacturing,1171,Yes,370,No,New,,"Dr. Manteghi, CEO of Khodro, expressed, ""Chery's models can perfectly meet the demands of the Iranian market and the cooperation with Chery will further improve our competitiveness in Iran and the surrounding markets."" Mr. Yin Tongyao, president and general manager of Chery Automotive Co., Ltd, expressed, ""Our cooperation with the strong Khodro which is Iran's largest automobile manufacturer as well as Solitac is bound to benefit all the three parties, also, it can strengthen Chery's competitiveness in Iran or even in the entire Middle East market so as to build up Chery into a 'Chinese brand in the world market'.""",,,,Yin Tongyao,President,,,,,,,,,,
1011,,,,,TH,,12/29/2024,High,,Yarn project,Completed,362,,No,,08/18/2016,12/15/2018,Industry & Trade/Ser,Textiles,"https://la34.com.vn/khanh-thanh-nha-may-huafu-viet-nam-18503.html#:~:text=Sáng%20nay%2015%2F12%2F2018,Trần%20Văn%20Cần%20đến%20dự.",https://hanoitimes.vn/majority-of-chinese-firms-consider-vietnam-preferred-investment-destination-46099.html,,,http://ipinvietnam.vn/tin-tuc-1/khoi-cong-nha-may-det-huafu-viet-nam--giai-doan-2,https://baolongan.vn/khanh-thanh-nha-may-huafu-viet-nam-tai-long-an-a67660.html,https://baolongan.vn/khanh-thanh-nha-may-huafu-viet-nam-tai-long-an-a67660.html,https://en.imsilkroad.com/p/123714.html,Southeast Asia,2016,1/1/2019,,Huafu Fashion (Huafu Top Dyed Melange Yarn),Huafu Fashion (Huafu Top Dyed Melange Yarn),,China,Guangdong,Shenzhen,Asia,Vietnam,China,Textiles,Apparel accessories & other apparel,"Wood, Apparel & Related Products",Manufacturing,3000,Yes,362,No,New,Announced,,,,https://asia.nikkei.com/Business/Business-trends/Goodbye-China-Chinese-manufacturers-follow-multinationals-out-the-door,,,,,,,,,,,,
1012,,TR,9/14/2025,ok,Naufal,,03/01/2025,High,,"Sugarcane plantation. Land concession was given in 2011 to five subsidiaries of the company. by 2016, $360 million has been allocated",Completed,360,,No,,11/08/2011,04/09/2016,Agriculture,Crops,https://www.chinadaily.com.cn/regional/2016-09/04/content_26711668.htm,,https://www.chinadaily.com.cn/regional/2016-09/04/content_26711668.htm,,https://grain.org/en/article/5728-cambodia-communities-in-protracted-struggle-against-chinese-sugar-companies-land-grab,https://www.chinadaily.com.cn/regional/2016-09/04/content_26711668.htm,https://www.chinadaily.com.cn/regional/2016-09/04/content_26711668.htm,,Southeast Asia,2011,2/1/2016,,Guangdong Hengfu Group Sugar Industry,Guangdong Hengfu Group Sugar Industry,,China,Guangdong,Zhanjiang,Asia,Cambodia,,Food & Tobacco,Sugar & confectionary products,"Food, Beverages & Tobacco",Manufacturing,1000,No,360,No,New,,,,,,,,,,,,,,,,,
1013,,,,,,,,,,Changed name to Russian Federation,,,,,,,,,,,,,,,,,,Northern Asia,,3/1/2019,,Tsaishen,Tsaishen,,China,Not Specified,Not Specified,Europe,Russian Federation,,Wood products,Wood products,"Wood, Apparel & Related Products",Manufacturing,955,Yes,357.4,No,New,Announced,,,Tsaishen,http://ru.investinrussia.com/news/15341-rossiisko-kitaiskaia-kompaniia-zapustit-v-krasnoiarskii,,,,,,,,,,,,
1014,,TR,9/15/2025,ok,Naufal,,03/01/2025,High,,Smartphone components supplier by Holitech,Commenced,200,,No,,06/29/2019,,Industry & Trade/Ser,Manufacturing,https://timesofindia.indiatimes.com/business/india-business/holitech-inaugurates-first-component-manufacturing-plant-in-india/articleshow/69803537.cms,https://timesofindia.indiatimes.com/business/india-business/holitech-inaugurates-first-component-manufacturing-plant-in-india/articleshow/69803537.cms,,,https://timesofindia.indiatimes.com/business/india-business/holitech-inaugurates-first-component-manufacturing-plant-in-india/articleshow/69803537.cms,,https://timesofindia.indiatimes.com/business/india-business/holitech-inaugurates-first-component-manufacturing-plant-in-india/articleshow/69803537.cms,,South Asia,2019,6/1/2019,,Xiaomi (Beijing Xiaomi Technology),Xiaomi (Beijing Xiaomi Technology),,China,Beijing Municipality,Beijing,Asia,India,,Communications,Communications equipment,ICT & Electronics,Manufacturing,6000,No,354.7,Yes,New,Announced,"""Xiaomi has witnessed significant growth in the country,"" said Muralikrishnan B, chief operating officer (India).",,"Xiaomi (Beijing Xiaomi Technology), Holitech Technology",https://www.deccanherald.com/specials/xiaomi-opens-mobile-component-manufacturing-plant-in-up-740523.html,,,,,,,,,,,,
1015,,TR,9/1/2025,ok,Zaky,,03/11/2025,Low,,There is no information regarding the progress of the MoU,Unknown,350,,No,,08/19/2015,,Industry & Trade/Ser,Material Production and Processing,,https://www.globalcement.com/news/item/4038-yantai-baoqiao-jinhong-to-build-us-350m-cement-plant-in-pakistan,,,https://www.globalcement.com/news/item/4038-yantai-baoqiao-jinhong-to-build-us-350m-cement-plant-in-pakistan,,https://www.globalcement.com/news/item/4038-yantai-baoqiao-jinhong-to-build-us-350m-cement-plant-in-pakistan,,South Asia,2015,8/1/2015,,Yantai Baoqiao Jinhong Cement,Yantai Baoqiao Jinhong Cement,,China,Shandong,Yantai,Asia,Pakistan,,Building & Construction Materials,Cement & concrete products,Construction,Manufacturing,1389,Yes,350,No,New,,,,,,Li Baolu,Chairman,,,,,,,,,,
1016,,,,,Alif,,02/27/2025,High,,Plans to build a cement factory and glassworks in the next two years in Indonesia's main Java island.,Announced,400,,Yes,,6/1/2011,,Industry & Trade/Ser,Material Production and Processing,https://www.chinadaily.com.cn/business/2011-06/01/content_12623524.htm?,https://www.chinadaily.com.cn/business/2011-06/01/content_12623524.htm?,,,https://www.chinadaily.com.cn/business/2011-06/01/content_12623524.htm?,,https://www.chinadaily.com.cn/business/2011-06/01/content_12623524.htm?,,Southeast Asia,2011,5/1/2011,,China National Building Material Group Corporation (CNBM),China National Building Material Group Corporation (CNBM),,China,Beijing Municipality,Beijing,Asia,Indonesia,,,Building & Construction Materials,Cement & concrete products,Construction,Manufacturing,1389,Yes,350,No,New,,,,,,,,,,,,,,,,
1017,,,,,,,,,,,,,,,,,,,,,,,,,,,,Central Asia,,3/1/2011,,China Triumph International Engineering,China Triumph International Engineering,,China,Shanghai Municipality,Shanghai,Asia,Azerbaijan,,,Building & Construction Materials,Cement & concrete products,Construction,Manufacturing,400,No,350,No,New,,,,,,,,,,,,,,,,
1018,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle East,,6/1/2010,,Chongqing Minmetal and Machinery Import and Export (CMMC),Chongqing Minmetal and Machinery Import and Export (CMMC),,China,Chongqing Municipality,Chongqing,Asia,Jordan,,,Chemicals,"Pesticide, fertilisers & other agricultural chemicals","Food, Beverages & Tobacco",Manufacturing,316,Yes,350,No,New,,,,,,,,,,,,,,,,
1019,,TR,9/1/2025,ok,Zaky,,03/01/2025,High,,Consortium to develop the Duddar zinc-lead project,Completed,72.64,,No,51,11/03/2003,12/29/2019,Metals and Minerals,Metals and Minerals,https://china.aiddata.org/projects/35306/,https://china.aiddata.org/projects/35306/,,https://china.aiddata.org/projects/35306/,https://china.aiddata.org/projects/35306/,https://china.aiddata.org/projects/35306/,https://china.aiddata.org/projects/35306/,,South Asia,2003,8/1/2003,,China Metallurgical Group Corporation (MCC),China Metallurgical Group Corporation (MCC),,China,Beijing Municipality,Beijing,Asia,Pakistan,,,Metals,"Copper, nickel, lead, & zinc mining",Physical Sciences,Extraction,388,Yes,350,No,New,,,,,,,,,,,,,,,,
1020,,,,,,,,,,"Changed name to Iran, Islamic Republic",,,,,,,,,,,,,,,,,,Middle East,,5/1/2014,,China Metallurgical Group Corporation (MCC),China Metallurgical Group Corporation (MCC),,China,Beijing Municipality,Beijing,Asia,"Iran, Islamic Republic",,,Metals,Iron & steel mills & ferroalloy,Physical Sciences,Manufacturing,1545,Yes,347,No,New,,,,,,,,,,,,,,,,
1021,,TR,8/28/2025,ok,Pocut,,02/28/2025,Medium,,"In 2019, Unilimin established its subsidiary in Singapore, opened first office in Feb 2019. No information on the amount invested.",Completed,,,,,06/21/2019,06/21/2019,ICT,ICT Infrastructure,https://www.inavateapac.com/news/article/unilumin-establishes-presence-in-singapore-expands-southeast-asian-operations,,,,https://www.inavateapac.com/news/article/unilumin-establishes-presence-in-singapore-expands-southeast-asian-operations,https://www.inavateapac.com/news/article/unilumin-establishes-presence-in-singapore-expands-southeast-asian-operations,,,Southeast Asia,2019,6/1/2019,,Unilumin Group,Unilumin Group,,China,Guangdong,Shenzhen,Asia,Singapore,,Electronic components,Audio & video equipment (Electronic components),ICT & Electronics,Headquarters,110,Yes,342.3,Yes,New,Opened,,South-east Asia,,https://www.inavateapac.com/news/article/unilumin-establishes-presence-in-singapore-expands-southeast-asian-operations,,,,,,,,,,,,
1022,,,,,,,,,,Changed name to Russian Federation,,,,,,,,,,,,,,,,,,Northern Asia,,1/1/2020,,Liwei,Liwei,,China,Not Specified,Not Specified,Europe,Russian Federation,,Food & Beverages,Crop production,Life sciences,Manufacturing,729,No,334.8,No,New,Announced,,"Russia, Europe, Asia",,https://www.eastrussia.ru/en/news/globalnym-vyrashchivaniem-zhenshenya-zaymutsya-v-khabarovskom-krae/,,,,,,,,,,,,
1023,,TR,9/1/2025,ok,Zaky,,03/09/2025,Medium,,The specific date of completed project is not available,Completed,260,,No,,06/01/2014,,Industry & Trade/Ser,Housing Construction,https://astoria.lk/element-success-behind-avic-astoria/,https://drive.google.com/file/d/12UQbsEDg-PnKvZL0scWO9qRh-6xgESFk/view,,,https://drive.google.com/file/d/12UQbsEDg-PnKvZL0scWO9qRh-6xgESFk/view,,https://drive.google.com/file/d/12UQbsEDg-PnKvZL0scWO9qRh-6xgESFk/view,,South Asia,2014,10/1/2014,,AVIC International Holding,Aviation Industry Corporation of China,,China,Beijing Municipality,Beijing,Asia,Sri Lanka,,,Real Estate,Residential building construction,Construction,Construction,1356,Yes,333,Yes,New,,,,,,,,,,,,,,,,
1024,,,,,Alif,,02/27/2025,Unknown,,The available information is insufficient. Attempts to search for information in online articles and reports have already been made,Unknown,,,,,,,,,,,,,,,,,Southeast Asia,,7/1/2009,,China Shenhua Energy Company,Shenhua Group Corporation,,China,Beijing Municipality,Beijing,Asia,Indonesia,,,"Coal, Oil and Natural Gas",Other petroleum & coal products,Energy,Extraction,251,Yes,331,No,New,,,,,,,,,,,,,,,,
1025,,TR,8/28/2025,ok,Pocut,,02/28/2025,Medium,,"In 2008, Jiangxi Rare Earth to build nickel plant in Philippines. In 2013, it is reported that Jiangxi Rare Earth and Rare Metals Tungsten Group Company Limited operates a US$150 million nickel exploration and cobalt processing project. No information on the amount invested.",Completed,,,,,11/28/2008,06/03/2013,Industry & Trade/Ser,Manufacturing,https://www.reuters.com/article/markets/oil/philippine-chinese-firms-to-build-nickel-plant-idUSMAN251686/,,,,https://www.reuters.com/article/markets/oil/philippine-chinese-firms-to-build-nickel-plant-idUSMAN251686/,,,,Southeast Asia,2008,11/1/2008,,Jiangxi Rare Earth & Rare Metals Tungsten Group,Jiangxi Rare Earth & Rare Metals Tungsten Group,,China,Jiangxi,Nanchang,Asia,Philippines,,Metals,"Copper, nickel, lead, & zinc mining",Physical Sciences,Manufacturing,191,Yes,330.2,Yes,New,,,,,,,,,,,,,,,,,
1026,,,,,,,,,,"Changed name to Iran, Islamic Republic",,,,,,,,,,,,,,,,,,Middle East,,7/1/2018,,Sinosteel,Sinosteel,,China,Beijing Municipality,Beijing,Asia,"Iran, Islamic Republic",,Renewable energy,Solar electric power,Environmental Technology,Electricity,58,Yes,326.2,Yes,New,Announced,,,"Sinosteel, Denikon",https://renewablesnow.com/news/italian-chinese-partnership-eyes-1-gw-of-solar-projects-in-iran-report-619325/,,,,,,,,,,,,
1027,,,,,Alif,,06/04/2025,Unknown,,The available information is insufficient. Attempts to search for information in online articles and reports have already been made,Unknown,,,,,,,,,,,,,,,,,Southeast Asia,,5/1/2019,,Bros Eastern Company,Bros Eastern Company,,China,Zhejiang,Ningbo,Asia,Vietnam,,Textiles,Textiles & Textile Mills,"Wood, Apparel & Related Products",Manufacturing,3000,Yes,325,No,New,Announced,,,,Inside International Industrials (IIICorp),,,,,,,,,,,,
1028,,,,,,,,,,,,,,,,,,,,,,,,,,,,Central Asia,,5/1/2018,,Qifeng New Material,Qifeng New Material,,China,Shandong,Zibo,Asia,Kazakhstan,,"Paper, printing & packaging","Pulp, paper, & paperboard","Wood, Apparel & Related Products",Manufacturing,2000,No,320,No,New,Announced,,,,http://www.mid.gov.kz/en/news/chinese-investor-agreement-was-reached-build-plant-production-pulp-and-paper-reeds,,,,,,,,,,,,
1029,,,,,Alif,,02/27/2025,Unknown,,The available information is insufficient. Attempts to search for information in online articles and reports have already been made,Unknown,,,,,,,,,,,,,,,,,Southeast Asia,,11/1/2013,,Megah Surya Pertiwi,Xinxing Ductile Iron Pipes,,China,Beijing Municipality,Beijing,Asia,Indonesia,,,Metals,Iron & steel mills & ferroalloy,Physical Sciences,Manufacturing,478,Yes,320,No,New,,,,,,Donald Hermanus,"President, Megah Surya Pertiwi",,,,,,,,,
1030,,,,,Naufal,,03/01/2025,Duplicate,844,,,,,,,,,,,,,,,,,,,South Asia,,11/1/2016,,Sany,Sany,,China,Hunan,Changsha,Asia,India,,Alternative/Renewable energy,Other electric power generation (Alternative/Renewable Energy),Environmental Technology,Electricity,24,Yes,318.6,Yes,New,,,,,,Liang Wengen,"Chairperson, Sany Heavy Industry",,,,,,,,,,
1031,,TR,9/16/2025,ok,Naufal,,03/01/2025,Irrelevant,,Solar power project. A share of project is financed through ADB and a mix of other funding not investment,Commenced,,,,,,,Energy,Renewable Energy Solar,,,,,,,,,South Asia,,8/1/2016,,ReNew Mega Solar,Hareon Solar Technology,,China,Jiangsu,Jiangyin,Asia,India,,Alternative/Renewable energy,Solar electric power,Environmental Technology,Electricity,24,Yes,318.6,Yes,New,,,,,,,,,,,,,,,,,
1032,,,,,Naufal,,03/01/2025,Duplicate,1032,,,,,,,,,,,,,,,,,,,South Asia,,8/1/2016,,ReNew Solar Energy (Telangana),Hareon Solar Technology,,China,Jiangsu,Jiangyin,Asia,India,,Alternative/Renewable energy,Solar electric power,Environmental Technology,Electricity,24,Yes,318.6,Yes,New,,,,,,,,,,,,,,,,,
1033,,,,,,,,,,Changed name to Türkiye,,,,,,,,,,,,,,,,,,Middle East,,5/1/2017,,Shanghai Aerospace Automobile Electromechanical (HT-SAAE),China Aerospace Science and Technology Corporation,,China,Beijing Municipality,Beijing,Asia,Türkiye,,,Electronic Components,All other electrical equipment & components,Environmental Technology,Manufacturing,500,No,315.5,Yes,New,,"""We chose Turkey as the home for our overseas facility for its location and booming PV market. As a transcontinental country in Eurasia, it is like a corridor through which we can get to both Europe and the United States,"" said Ruan Zhongli, vice-president, PV business, HT-SAAE.",,,,Ruan Zhongli,"Vice President, PV Business, HT-SAAE",,,,,,,,,
1034,,,,,Alif,,02/27/2025,High,,Establish dairy factory,Completed,50,,Yes,,11/01/2017,,Industry & Trade/Ser,Food and Beverage,https://www.jcnnewswire.com/pressrelease/48212/2/Mengniu-Opens-Factory-in-Indonesia%2C-Advances-Deployment-for-Seizing-Belt-and-Road-Opportunities?,https://www.jcnnewswire.com/pressrelease/48212/2/Mengniu-Opens-Factory-in-Indonesia%2C-Advances-Deployment-for-Seizing-Belt-and-Road-Opportunities?,,,https://www.jcnnewswire.com/pressrelease/48212/2/Mengniu-Opens-Factory-in-Indonesia%2C-Advances-Deployment-for-Seizing-Belt-and-Road-Opportunities?,,https://www.jcnnewswire.com/pressrelease/48212/2/Mengniu-Opens-Factory-in-Indonesia%2C-Advances-Deployment-for-Seizing-Belt-and-Road-Opportunities?,,Southeast Asia,2017,11/1/2018,,China Mengniu Dairy Company,China Mengniu Dairy Company,,China,Inner Mongolia,Hohhot,Asia,Indonesia,,Food & Beverages,Dairy products,Agribusiness,Manufacturing,1000,No,312.3,Yes,New,Opened,Chief executive officer Lu Minfang said a positive trend of economic growth influenced the company's decision to open in Indonesia.,,,http://spanish.xinhuanet.com/2018-11/30/c_137640533.htm,Lu Minfang,Chief Executive Officer,,,,,,,,,,
1035,,TR,8/28/2025,ok,Pocut,,02/28/2025,Medium,,"Joint venture between Perak Property Development and Fubao Group. No amount of investment was mentioned, only forecasted facility production and revenue mentioned. No other information of the event.",Announced,,,,,02/12/2018,,Industry & Trade/Ser,Food and Beverage,https://www.foodnavigator-asia.com/Article/2018/02/12/China-and-Malaysia-joint-shrimp-venture-to-create-1-000-jobs/,,,,https://www.foodnavigator-asia.com/Article/2018/02/12/China-and-Malaysia-joint-shrimp-venture-to-create-1-000-jobs/,,,,Southeast Asia,2018,2/1/2018,,Fubao Group,Fubao Group,,China,Fujian,Nanping,Asia,Malaysia,,Food & Beverages,Seafood products,Agribusiness,Manufacturing,1000,No,307.2,Yes,New,Announced,,,"Fubao Group, Koperasi Pelaburan Pembangunan Hartanah Perak Berhad (KPPH)",https://www.foodnavigator-asia.com/Article/2018/02/12/China-and-Malaysia-joint-shrimp-venture-to-create-1-000-jobs,,,,,,,,,,,,
1036,,,,,Alif,,03/27/2025,High,,Set up an SUV production plant in Thailand,Announced,300,,,,03/28/2013,,Automotive,Automotive,https://www.bangkokpost.com/business/general/342696/gwm-plans-300m-plant,https://www.bangkokpost.com/business/general/342696/gwm-plans-300m-plant,,,https://www.bangkokpost.com/business/general/342696/gwm-plans-300m-plant,,https://www.bangkokpost.com/business/general/342696/gwm-plans-300m-plant,,Southeast Asia,2013,3/1/2013,,Great Wall Motors (GWM),Great Wall Motors (GWM),,China,Hebei,Baoding,Asia,Thailand,,Automotive OEM,Light trucks & utility vehicles,Transport Equipment,Manufacturing,1799,Yes,307,No,New,,,,,,,,,,,,,,,,,
1037,,,,,,,,,,Changed name to Russian Federation,,,,,,,,,,,,,,,,,,Northern Asia,,6/1/2018,,China National Electric Engineering,China National Machinery Industry,,China,Beijing Municipality,Beijing,Europe,Russian Federation,,"Coal, oil & gas",Fossil fuel electric power,Energy,Electricity,295,Yes,306,Yes,New,Announced,,,,http://ru.investinrussia.com/news/13078-cneec-zainteresovana-v-razvitii-alternativnoi-energetiki,Zheng Chengjun,"Vice President, China National Electric Engineering",,,,,,,,,,
1038,,,,,,,,,,Changed name to Russian Federation,,,,,,,,,,,,,,,,,,Northern Asia,,10/1/2013,,China Huaneng,China Huaneng,,China,Beijing Municipality,Beijing,Europe,Russian Federation,,,"Coal, Oil and Natural Gas","Other electric power generation (Coal, Oil and Natural Gas)",Energy,Electricity,262,Yes,306,Yes,New,,,,,,Cao Peixi,President,,,,,,,,,
1039,,TR,8/28/2025,ok,Pocut,,02/28/2025,High,,The first Chinese university branch campus in Malaysia.,Completed,292.5,,Yes,,01/01/2013,12/01/2015,Education,Tertiary Education,https://ice.xmu.edu.cn/en/info/1118/1151.htm,https://ice.xmu.edu.cn/en/info/1118/1151.htm,,,https://ice.xmu.edu.cn/en/info/1118/1151.htm,,,https://www.xmu.edu.my/14685/list.htm,Southeast Asia,2013,1/1/2013,,Xiamen University,Xiamen University,,China,Fujian,Xiamen,Asia,Malaysia,,Business Services,"Schools, colleges, universities, & professional schools",Creative Industries,Education & Training,1276,Yes,305.3,No,New,,,,,,Zhu Chongshi,President,,,,,,,,,,
1040,,TR,8/28/2025,ok,Pocut,,02/28/2025,Medium,,"In 2018, plans to open a fintech research centre in Singapore by the end of March. In 2023, Ant Group opens new center in Singapore hence considered as completed. no information regarding investment value can be found. hence, marked as medium confidence",Completed,,,,,11/21/2018,10/09/2023,Financial Sector,Banking Institutions,https://sg.finance.yahoo.com/news/ant-financial-plans-open-singapore-research-centre-march-hire-200-engineers-081029142.html                                                                        ,,,,https://sg.finance.yahoo.com/news/ant-financial-plans-open-singapore-research-centre-march-hire-200-engineers-081029142.html                                                                        ,https://www.edb.gov.sg/en/business-insights/insights/fintech-giant-ant-group-opens-new-office-in-singapore-set-to-expand-offerings.html,,https://fintech.global/2018/06/11/ant-financial-raises-14bn-in-series-c-financing/,Southeast Asia,2018,11/1/2018,,Ant Financial Services Group,Alibaba Group,,China,Zhejiang,Hangzhou,Asia,Singapore,,Software & IT services,Other (Software & IT services),Financial Services,ICT & Internet Infrastructure,75,Yes,301.5,Yes,Expansion,Announced,,,,https://sg.finance.yahoo.com/news/ant-financial-plans-open-singapore-research-centre-march-hire-200-engineers-081029142.html,,,,,,,,,,,,
1041,,,,,,,,,,,,,,,,,,,,,,,,,,,,Central Asia,,5/1/2019,,China National Electric Engineering,China National Machinery Industry (Sinomach),,China,Beijing Municipality,Beijing,Asia,Azerbaijan,,Rubber,Tyres,Transport Equipment,Manufacturing,800,No,300,No,New,Announced,,Countries neighbouring Uzbekistan,"China National Electric Engineering, Azerbaijan Investment Company",http://azeridaily.com/politics/47681,,,,,,,,,,,,
1042,,,,,Alif,,03/27/2025,High,,Establish tire production plant,Announced,300,,,,11/19/2018,,Automotive,Automotive,https://www.caixinglobal.com/2018-09-19/chinese-tiremaker-to-build-300-million-plant-in-thailand-101328156.html,https://www.caixinglobal.com/2018-09-19/chinese-tiremaker-to-build-300-million-plant-in-thailand-101328156.html,,,https://www.caixinglobal.com/2018-09-19/chinese-tiremaker-to-build-300-million-plant-in-thailand-101328156.html,,https://www.caixinglobal.com/2018-09-19/chinese-tiremaker-to-build-300-million-plant-in-thailand-101328156.html,,Southeast Asia,2018,10/1/2018,,Jiangsu General Science Technology,Hongdou Group,,China,Jiangsu,Wuxi,Asia,Thailand,,Rubber,Tyres,Transport Equipment,Manufacturing,1459,Yes,300,No,New,Announced,,,,https://reifenpresse.de/2018/10/02/auch-jgst-will-in-thailand-neues-reifenwerk-bauen/,,,,,,,,,,,,
1043,,TR,9/17/2025,ok,Naufal,,03/01/2025,Irrelevant,,Tyre factory. Project was halted and relocated to Thailand,Cancelled,,,,,,,Automotive,Automotive,https://www.caixinglobal.com/2018-09-19/chinese-tiremaker-to-build-300-million-plant-in-thailand-101328156.html,,,,,,,,Southeast Asia,,4/1/2018,,Jiangsu General Science Technology,Hongdou Group,,China,Jiangsu,Wuxi,Asia,Cambodia,,Rubber,Tyres,Transport Equipment,Manufacturing,924,Yes,300,No,New,Announced,,,,https://www.yicaiglobal.com/news/jgst-set-singapore-unit-it-expands-across-southeast-asia,,,,,,,,,,,,
1044,,,,,,,,,,Changed name to Russian Federation,,,,,,,,,,,,,,,,,,Northern Asia,,8/1/2015,,Anhui Conch Group,Anhui Conch Group,,China,Anhui,Wuhu,Europe,Russian Federation,,Building & Construction Materials,Cement & concrete products,Construction,Manufacturing,840,Yes,300,No,New,,,,,,,,,,,,,,,,,
1045,,TR,9/18/2025,ok,Naufal,,03/01/2025,Low,,Technology centre in Bengaluru. No furhter updates can be found hence classified as low confidence,Announced,300,,,,07/07/2015,,,,https://www.deccanherald.com/business/sunpa-group-build-tech-centre-2138122,https://www.deccanherald.com/business/sunpa-group-build-tech-centre-2138122,,,https://www.deccanherald.com/business/sunpa-group-build-tech-centre-2138122,,,,South Asia,2015,7/1/2015,,Sunpa,Sunpa,,China,Yunnan,Kunming,Asia,India,,Software & IT services,"Software publishers, except video games",Life sciences,"Design, Development & Testing",700,No,300,No,New,,"""We are very much impressed by the technology prowess of Bangalore by way of large cluster of research and development centres of all top Fortune 500 companies. Besides known for its rich human resources, the city is also known for its weather,"" said Liu Le, vice-president.",,,,Liu Le,Vice President,,,,,,,,,,
1046,,TR,9/1/2025,ok,Zaky,,03/14/2025,High,,The joint venture Hongshi-Shivam Cement Private Limited.,Completed,360,,No,70,07/30/2015,05/20/2018,Industry & Trade/Ser,Material Production and Processing,https://kathmandupost.com/money/2018/05/20/hongshi-shivam-cement-factory-starts-trial-production,"https://www.globalcement.com/news/itemlist/tag/Hongshi%20Holdings#:~:text=Nepal%20approves%20US$360m%20investment%20from%20Hongshi%20Holdings&text=Nepal:%20Nepal%20has%20endorsed%20a,for%2085%25%20of%20domestic%20consumption.",,https://economictimes.indiatimes.com/news/international/world-news/chinese-company-to-invest-in-nepals-cement-industry/articleshow/46611761.cms?from=mdr,"https://www.globalcement.com/news/itemlist/tag/Hongshi%20Holdings#:~:text=Nepal%20approves%20US$360m%20investment%20from%20Hongshi%20Holdings&text=Nepal:%20Nepal%20has%20endorsed%20a,for%2085%25%20of%20domestic%20consumption.",https://kathmandupost.com/money/2018/05/20/hongshi-shivam-cement-factory-starts-trial-production,"https://www.globalcement.com/news/itemlist/tag/Hongshi%20Holdings#:~:text=Nepal%20approves%20US$360m%20investment%20from%20Hongshi%20Holdings&text=Nepal:%20Nepal%20has%20endorsed%20a,for%2085%25%20of%20domestic%20consumption.",,South Asia,2015,3/1/2015,,Hongshi Holdings Group,Hongshi Holdings Group,,China,Zhejiang,Lanxi,Asia,Nepal,,Building & Construction Materials,Cement & concrete products,Construction,Manufacturing,1191,Yes,300,No,New,,,,,,Xu Youyuan,Executive Vice President,,,,,,,,,,
